rank   director                              actor                            films_together  total_films
243    Dinesh Chaudhary                      Uttar Kumar                      13              13         
244    Togan Gökbakar                        Sahan Gökbakar                   13              13         
245    Raoul Walsh                           James A. Marcus                  12              99         
246    Lloyd Bacon                           Frank McHugh                     12              92         
247    Orhan Elmas                           Cüneyt Arkin                     12              79         
248    René Cardona Jr.                      Hugo Stiglitz                    12              72         
249    Julián Soler                          Andrés Soler                     12              67         
250    William Dieterle                      Henry O'Neill                    12              62         
251    Alejandro Galindo                     David Silva                      12              61         
252    Rafael Gil                            Juan Espantaleón                 12              60         
253    Ford Beebe                            Johnny Sheffield                 12              57         
254    Miguel Morayta                        Fernando Soto                    12              55         
255    Jaime Salvador                        Joaquín García Vargas            12              53         
256    Niazi Mostafa                         Farid Shawqi                     12              52         
257    Yen-Ping Chu                          Shao-Wen Hao                     12              51         
258    O. Nuri Ergün                         Ali Ekdal                        12              51         
259    Claude Lelouch                        Charles Gérard                   12              51         
260    Alfonso Brescia                       Mario Merola                     12              50         
261    Federico Curiel                       Roberto Ramírez Garza            12              50         
262    Leslie Goodwins                       Leon Errol                       12              50         
263    Ertem Göreç                           Hasan Ceylan                     12              49         
264    Dinos Dimopoulos                      Dionysis Papagiannopoulos        12              46         
265    Gilles Grangier                       Jean Gabin                       12              46         
266    Serif Gören                           Kadir Inanir                     12              42         
267    Juan Bustillo Oro                     Joaquín Pardavé                  12              38         
268    Clifton Ko                            Raymond Pak-Ming Wong            12              37         
269    Rabi Kinagi                           Jeet                             12              36         
270    Víctor Manuel Castro                  Alfonso Zayas                    12              36         
271    Giorgos Papakostas                    Tasos Giannopoulos               12              35         
272    D.W. Griffith                         Robert Harron                    12              34         
273    Hong Sang-soo                         Kwon Hae-hyo                     12              34         
274    Uwe Boll                              Michael Paré                     12              32         
275    Ivar Johansson                        Sten Lindgren                    12              31         
276    Odysseas Kosteletos                   Lavrentis Dianellos              12              30         
277    Masud Kimiai                          Poulad Kimiayi                   12              29         
278    Gilberto de Anda                      Gilberto de Anda                 12              28         
279    Yôjirô Takita                         Yukijirô Hotaru                  12              27         
280    Kazuo Ikehiro                         Raizô Ichikawa                   12              25         
281    Eric Tsang                            Eric Tsang                       12              25         
282    Steven M. Smith                       Jon-Paul Gates                   12              23         
283    Smeep Kang                            Gurpreet Ghuggi                  12              21         
284    Senkichi Taniguchi                    Toshirô Mifune                   12              20         
285    Jason Campbell                        Dean Cain                        12              19         
286    Abbas Alibhai Burmawalla              Johny Lever                      12              18         
287    Mastan Alibhai Burmawalla             Johny Lever                      12              18         
288    Armand Lohikoski                      Masa Niemi                       12              18         
289    Chatrichalerm Yukol                   Sorapong Chatree                 12              18         
290    Zeki Alasya                           Metin Akpinar                    12              18         
291    Zoran Calic                           Dragomir Bojanic-Gidra           12              17         
292    Balachandra Menon                     Balachandra Menon                12              17         
293    Ryûichi Takamori                      Shin'ichi Chiba                  12              17         
294    Bae Chang-ho                          Ahn Sung-ki                      12              16         
295    Kengo Furusawa                        Hitoshi Ueki                     12              16         
296    Aleksandr Rou                         Georgiy Millyar                  12              16         
