rank   director                              actor                            films_together  total_films
9356   Josef Pinkava                         Lubomír Lipský                   2               12         
9357   Michael Radford                       John Hurt                        2               12         
9358   Abbas Rafei                           Siavosh Tahmoures                2               12         
9359   Abel Salazar                          Eduardo Noriega                  2               12         
9360   Walter Salles                         Tchéky Karyo                     2               12         
9361   Mauro Gia Samonte                     Anton Bernardo                   2               12         
9362   Noel M. Smith                         Joseph Crehan                    2               12         
9363   Viktor Sokolov                        Pyotr Velyaminov                 2               12         
9364   Vera Stroyeva                         Ivan Kozlovsky                   2               12         
9365   Aleksandr Surin                       Sergey Gazarov                   2               12         
9366   Junichi Suzuki                        Megumi Sakakibara                2               12         
9367   Andy Tennant                          Josh Lucas                       2               12         
9368   Eric Till                             Peter Ustinov                    2               12         
9369   Kelvin Tong                           Shucheng Chen                    2               12         
9370   Keisuke Toyoshima                     Toshiki Ayata                    2               12         
9371   Berthold Viertel                      Charles Boyer                    2               12         
9372   Piero Vivarelli                       Armando Calvo                    2               12         
9373   Crane Wilbur                          Conrad Nagel                     2               12         
9374   Arthur B. Woods                       Peter Coke                       2               12         
9375   Tizuka Yamasaki                       Walmor Chagas                    2               12         
9376   Alfred Zeisler                        Ernst Behmer                     2               12         
9377   Andrejs Ekis                          Jan Uuspõld                      2               12         
9378   Oh Yoon-dong                          NCT Dream                        2               12         
9379   Tôru Kamei                            Jirô Satô                        2               12         
9380   Takeshi Furusawa                      Yûdai Chiba                      2               12         
9381   Biray Dalkiran                        Mehmet Bastürk                   2               12         
9382   Antoinette Jadaone                    Ian Veneracion                   2               12         
9383   Mj Dixon                              James Hamer-Morton               2               12         
9384   Soo Sung Lee                          Moon Young-dong                  2               12         
9385   Mario Van Peebles                     Paul Rodriguez                   2               12         
9386   Sharunas Bartas                       Alex Descas                      2               12         
9387   Michael Findlay                       John Amero                       2               12         
9388   Richard Gabai                         Christopher Lloyd                2               12         
9389   Ziad H. Hamzeh                        Marc Sandler                     2               12         
9390   Amol Palekar                          Haidar Ali                       2               12         
9391   Robert Benton                         Paul Newman                      2               11         
9392   Cameron Crowe                         Tom Cruise                       2               11         
9393   John McTiernan                        Pierce Brosnan                   2               11         
9394   Chris Marker                          Chris Marker                     2               11         
9395   Tim Hunter                            Matt Dillon                      2               11         
9396   George Abbott                         Joseph Crehan                    2               11         
9397   Silvano Agosti                        Edy Biagetti                     2               11         
9398   Tamás Almási                          József Gyabronka                 2               11         
9399   Miguel Arteta                         John C. Reilly                   2               11         
9400   Jaume Balagueró                       Pablo Rosso                      2               11         
9401   Adolf Bergunker                       Boris Chirkov                    2               11         
9402   Ole Bornedal                          Kim Bodnia                       2               11         
9403   Vladimir Bortko                       Yury Belyayev                    2               11         
9404   Edwin Carewe                          Oscar Apfel                      2               11         
9405   Rubén W. Cavalloti                    Enrique Dumas                    2               11         
9406   Élie Chouraqui                        Jean-Hugues Anglade              2               11         
9407   Yves Ciampi                           Gert Fröbe                       2               11         
9408   James F. Collier                      John Milford                     2               11         
9409   Lloyd Corrigan                        George Barbier                   2               11         
9410   Massimo Dallamano                     Giancarlo Badessi                2               11         
9411   Harold Daniels                        Robert Clarke                    2               11         
9412   Vadim Derbenyov                       Yury Belyayev                    2               11         
9413   Shimon Dotan                          Michael Paré                     2               11         
9414   Michel Drach                          Jean-Louis Trintignant           2               11         
9415   Álvaro Fernández Armero               Coque Malla                      2               11         
9416   John Flynn                            James Victor                     2               11         
9417   Matteo Garrone                        Salvatore Sansone                2               11         
9418   Hans W. Geissendörfer                 Werner Eichhorn                  2               11         
9419   William A. Graham                     Bruce Dern                       2               11         
9420   F. Gary Gray                          Vin Diesel                       2               11         
9421   Catherine Hardwicke                   Billy Burke                      2               11         
9422   Rainer Kaufmann                       Günther Maria Halmer             2               11         
9423   Kim Soo-yong                          Nak-hun Lee                      2               11         
9424   Jack Lee                              Peter Finch                      2               11         
9425   Ella Lemhagen                         Fredrik Beckman                  2               11         
9426   Dimitri Logothetis                    Nicholas Celozzi                 2               11         
9427   Richard Loncraine                     Denholm Elliott                  2               11         
9428   Russell Mack                          Lew Ayres                        2               11         
9429   David Mackenzie                       Ewan McGregor                    2               11         
9430   Andrey Malyukov                       Boris Galkin                     2               11         
9431   Franco Maresco                        Salvatore Gattuso                2               11         
9432   Eddy Matalon                          Claude Brasseur                  2               11         
9433   Joji Matsuoka                         Tadanobu Asano                   2               11         
9434   Peter Maxwell                         George Pastell                   2               11         
9435   James Merendino                       James Duval                      2               11         
9436   Thierry Michel                        Thierry Michel                   2               11         
9437   Robert Ellis Miller                   Timothy Dalton                   2               11         
9438   Reza Mirkarimi                        Mehran Rajabi                    2               11         
9439   Aleksandr Muratov                     Nikolay Shutko                   2               11         
9440   Mira Nair                             Ranjit Chowdhry                  2               11         
9441   Noboru Nakamura                       Keiji Sada                       2               11         
9442   Michael Oblowitz                      Billy Zane                       2               11         
9443   Cliff Owen                            Martin Benson                    2               11         
9444   Amleto Palermi                        Vittorio De Sica                 2               11         
9445   Raoul Peck                            Alex Descas                      2               11         
9446   Pierre Perrault                       Maurice Chaillot                 2               11         
9447   Yusup Razykov                         Aleksey Vertkov                  2               11         
9448   Gottfried Reinhardt                   Kirk Douglas                     2               11         
9449   Francis Reusser                       Roland Amstutz                   2               11         
9450   Maria Ripoll                          Jordi Sánchez                    2               11         
9451   Stephen Roberts                       William Powell                   2               11         
9452   Eli Roth                              Jack Black                       2               11         
9453   Boris Sagal                           Robert Carricart                 2               11         
9454   Wisit Sasanatieng                     Ananda Everingham                2               11         
9455   Jerry Schatzberg                      Al Pacino                        2               11         
9456   Robert Schwentke                      Fatih Cevikkollu                 2               11         
9457   Peter Graham Scott                    Terence Alexander                2               11         
9458   Mel Stuart                            Leonard Stone                    2               11         
9459   Jeannot Szwarc                        Jeffrey Kramer                   2               11         
9460   Don Taylor                            William Windom                   2               11         
9461   Valeriy Todorovskiy                   Sergey Garmash                   2               11         
9462   Stanley Wing Siu                      Lau Chan                         2               11         
9463   Robert Young                          John Cleese                      2               11         
9464   Lordan Zafranovic                     Boris Kralj                      2               11         
9465   Jerzy Zarzycki                        Emil Karewicz                    2               11         
9466   Frederic Zelnik                       Richard Dolman                   2               11         
9467   Vasily Zhuravlyov                     Nikolai Annenkov                 2               11         
9468   Yûichi Satô                           Hidetoshi Nishijima              2               11         
9469   Dani de la Orden                      David Bagés                      2               11         
9470   Dibakar Banerjee                      Rajendra Sethi                   2               11         
9471   Lance Kawas                           Eric Roberts                     2               11         
9472   Veronica Velasco                      Paolo Contis                     2               11         
9473   Yûichirô Hirakawa                     Takashi Tsukamoto                2               11         
9474   Renee S. Warren Peoples               Keon Black                       2               11         
9475   O.H. Krill                            Charles Thompsen                 2               11         
9476   Razka Robby Ertanto                   Donny Damara                     2               11         
9477   Kamal Smith                           Autumn Estridge                  2               11         
9478   RC Delos Reyes                        Carlo Aquino                     2               11         
9479   Paul D. Hannah                        Flex Alexander                   2               11         
9480   Roman Karimov                         Nikita Sanaev                    2               11         
9481   Wil Lewis                             Rodrick Emanuel                  2               11         
9482   Chris Marker                          Yves Montand                     2               11         
9483   Eduardo De Filippo                    Marcello Mastroianni             2               11         
9484   Anselmo Duarte                        Francisco Di Franco              2               11         
9485   David Heavener                        Joe Estevez                      2               11         
9486   Terrence Malick                       Christian Bale                   2               10         
9487   Kathryn Bigelow                       Ralph Fiennes                    2               10         
9488   Jane Campion                          Harvey Keitel                    2               10         
9489   Todd Haynes                           Christian Bale                   2               10         
9490   Jacques Audiard                       Jean-Louis Trintignant           2               10         
9491   Xavier Koller                         Heinz Bühlmann                   2               10         
9492   Malcolm D. Lee                        Morris Chestnut                  2               10         
9493   Gyula Gazdag                          Pál Hetényi                      2               10         
9494   David Winning                         Michael Ironside                 2               10         
9495   Frédéric Forestier                    Gérard Darmon                    2               10         
9496   Bill Duke                             Laurence Fishburne               2               10         
9497   Lindsay Hartley                       Gary Poux                        2               10         
9498   C.M. Pennington-Richards              Reginald Beckwith                2               10         
9499   Daniel Schmid                         Jean Bouise                      2               10         
9500   Rodrigo García                        Ewan McGregor                    2               10         
9501   Charles Wilkinson                     Garwin Sanford                   2               10         
9502   Sally Potter                          Simon Abkarian                   2               10         
9503   Alexandre Aja                         Jean-Claude de Goros             2               10         
9504   Lisa Azuelos                          Alexandre Astier                 2               10         
9505   Beth B                                William Rice                     2               10         
9506   Jaime Jesús Balcázar                  Antonio Molino Rojo              2               10         
9507   Jon Bang Carlsen                      Ingolf David                     2               10         
9508   Giuliano Biagetti                     Mario Carotenuto                 2               10         
9509   Naum Birman                           Oleg Dal                         2               10         
9510   Eduard Bocharov                       Aleksandr Barsov                 2               10         
9511   José Luis Borau                       Erasmo Pascual                   2               10         
9512   Alfred Braun                          Alfred Braun                     2               10         
9513   Yücel Çakmakli                        Turgut Borali                    2               10         
9514   Laurent Cantet                        Jalil Lespert                    2               10         
9515   Tonino Cervi                          Paolo Bonacelli                  2               10         
9516   Jen-Chieh Chang                       Kuan-Chun Chi                    2               10         
9517   Mabel Cheung                          Chow Yun-Fat                     2               10         
9518   Yuriy Chulyukin                       Aleksandr Goloborodko            2               10         
9519   Daniele Ciprì                         Giacomo Civiletti                2               10         
9520   Jean-Paul Civeyrac                    Renaud Bécard                    2               10         
9521   Georges Combret                       Pierre Brasseur                  2               10         
9522   Pappi Corsicato                       Antonino Bruschetta              2               10         
9523   George P. Cosmatos                    Sylvester Stallone               2               10         
9524   Olivier Dahan                         Pascal Greggory                  2               10         
9525   Dang Nhat Minh                        Tat Binh Dang                    2               10         
9526   Terence Davies                        Simon Russell Beale              2               10         
9527   Lyman Dayton                          Cam Clarke                       2               10         
9528   Masanobu Deme                         Morio Kazama                     2               10         
9529   Denis Dercourt                        Philippe Duclos                  2               10         
9530   Howard Deutch                         Jack Lemmon                      2               10         
9531   Thorold Dickinson                     Stephen Murray                   2               10         
9532   Robert Dornhelm                       August Schmölzer                 2               10         
9533   Philip Dunne                          Warren Berlinger                 2               10         
9534   Ulrich Erfurth                        Paul Henckels                    2               10         
9535   Eduardo Escorel                       Renato Consorte                  2               10         
9536   Alexander Esway                       André Alerme                     2               10         
9537   James Fargo                           Clint Eastwood                   2               10         
9538   Miguel Faria Jr.                      José Lewgoy                      2               10         
9539   Philippe Faucon                       Mohamed Chabane-Chaouche         2               10         
9540   Colin Finbow                          Peter Bayliss                    2               10         
9541   Jorge Fons                            José Alonso                      2               10         
9542   Péter Forgács                         Miklós Bodóczky                  2               10         
9543   William Fruet                         Alf Humphreys                    2               10         
9544   Tomoyuki Furumaya                     Ken Mitsuishi                    2               10         
9545   Eddie Garcia                          Tommy Abuel                      2               10         
9546   Bernard Girard                        Severn Darden                    2               10         
9547   Jack Gold                             Nigel Hawthorne                  2               10         
9548   Robert Gordon                         James Bell                       2               10         
9549   Péter Gothár                          Tibor Bitskey                    2               10         
9550   David Greene                          Stephen McHattie                 2               10         
9551   Victor Halperin                       George Cleveland                 2               10         
9552   Stefan Haupt                          Oscar Bingisser                  2               10         
9553   Ineke Houtman                         Peter Blok                       2               10         
9554   Reginald Hudlin                       Eddie Murphy                     2               10         
9555   Ed Hunt                               Tom Celli                        2               10         
9556   Jianqi Huo                            Yueming Pan                      2               10         
9557   Hur Jin-ho                            Han Suk-kyu                      2               10         
9558   Stefano Incerti                       Antonino Bruschetta              2               10         
9559   Vadim Jean                            Kelsey Grammer                   2               10         
9560   Soo-il Jeon                           Cho Jae-hyun                     2               10         
9561   Barna Kabay                           Ferenc Bács                      2               10         
9562   Jeremy Kagan                          F. Murray Abraham                2               10         
9563   Allan King                            Gordon Pinsent                   2               10         
9564   Lars Kraume                           Burghart Klaußner                2               10         
9565   Yusuf Kurçenli                        Tarik Akan                       2               10         
9566   Seijirô Kôyama                        Kazuo Andô                       2               10         
9567   Lawrence Lanoff                       Mikey LeBeau                     2               10         
9568   Nikolay Lebedev                       Viktor Chekmaryov                2               10         
9569   Michael Lehmann                       Glenn Shadix                     2               10         
9570   Brett Leonard                         Jeremy Slate                     2               10         
9571   Antonio Leonviola                     Harry Baird                      2               10         
9572   Siu-Hung Leung                        Chuck Jeffreys                   2               10         
9573   Shaohong Li                           Jue Huang                        2               10         
9574   Åke Lindman                           Paavo Hukkinen                   2               10         
9575   Ryan Little                           Corbin Allred                    2               10         
9576   Kin Lo                                Siu-Ho Chin                      2               10         
9577   Eric Louzil                           Xavier Barquet                   2               10         
9578   Richard Lowenstein                    Chris Haywood                    2               10         
9579   Harvey Lowry                          Christopher Rich                 2               10         
9580   Richard Lowry                         Richard Lowry                    2               10         
9581   Gytis Luksas                          Vladas Bagdonas                  2               10         
9582   Jonathan Lynn                         Phil Hartman                     2               10         
9583   Gustav Machatý                        Jan Richter                      2               10         
9584   Henry MacRae                          Charles Brinley                  2               10         
9585   Nils Malmros                          Jan Johansen                     2               10         
9586   Nodar Managadze                       Abesalom Asatiani                2               10         
9587   Vincenzo Marra                        Antonio Gerardi                  2               10         
9588   Herbert Mason                         George Arliss                    2               10         
9589   Jim McBride                           Dennis Quaid                     2               10         
9590   Rodney McDonald                       Andrew Stevens                   2               10         
9591   Leonid Menaker                        Olgert Kroders                   2               10         
9592   Pino Mercanti                         Aurelio Fierro                   2               10         
9593   Fernando Merinero                     Fernando Merinero                2               10         
9594   Robert Milton                         Leslie Howard                    2               10         
9595   Masahiko Nagasawa                     Tsurube Shôfukutei               2               10         
9596   Alice Nellis                          Marián Geisberg                  2               10         
9597   Pat O'Connor                          Colin Firth                      2               10         
9598   Christina Olofson                     Stellan Johansson                2               10         
9599   George Pearson                        Patrick Aherne                   2               10         
9600   Paco Plaza                            Ismael Martínez                  2               10         
9601   Gracia Querejeta                      Ramón Barea                      2               10         
9602   Mark Rappaport                        Michael Burg                     2               10         
9603   Robert Rossen                         Jim Bannon                       2               10         
9604   Nikolai Rozantsev                     Petr Shelokhonov                 2               10         
9605   Simon Rumley                          Stuart Laing                     2               10         
9606   Chuck Russell                         John Travolta                    2               10         
9607   Ladislav Rychman                      Josef Kemr                       2               10         
9608   Helma Sanders-Brahms                  Heinrich Giskes                  2               10         
9609   Jorge Sanjinés                        Vicente Verneros Salinas         2               10         
9610   Peter Sasdy                           Christopher Lee                  2               10         
9611   Peter Schamoni                        Mario Adorf                      2               10         
9612   Richard Schenkman                     Jon Cryer                        2               10         
9613   Arthur Allan Seidelman                Richard Alfieri                  2               10         
9614   Ikuo Sekimoto                         Tôru Abe                         2               10         
9615   Tom Shell                             A.J. Draven                      2               10         
9616   Richard Shepard                       Roberto Sosa                     2               10         
9617   Takehiko Shinjô                       Tetta Sugimoto                   2               10         
9618   Leslie Small                          Nathan L. Smith                  2               10         
9619   Clifford Smith                        Lon Chaney Jr.                   2               10         
9620   Carlos Sorin                          Diego Gentile                    2               10         
9621   Christian Stengel                     Antoine Balpêtré                 2               10         
9622   Steven Hilliard Stern                 Bill Dana                        2               10         
9623   Herbert L. Strock                     Malcolm Atterbury                2               10         
9624   Mohammad Ali Talebi                   Hamid Jebeli                     2               10         
9625   Lee Tamahori                          Michael Madsen                   2               10         
9626   Sérgio Tréfaut                        Makena Diop                      2               10         
9627   Gus Trikonis                          John Amos                        2               10         
9628   George Loane Tucker                   Gerald Ames                      2               10         
9629   Nicolas Wadimoff                      Anton Kouznetsov                 2               10         
9630   Stuart Walker                         Charles D. Brown                 2               10         
9631   Fred M. Wilcox                        Harry Davenport                  2               10         
9632   Gary Winick                           Robert Iler                      2               10         
9633   Boaz Yakin                            Robert John Burke                2               10         
9634   Masashi Yamamoto                      Jun Murakami                     2               10         
9635   Boris Yashin                          Fyodor Odinokov                  2               10         
9636   Gavriil Egiazarov                     Boris Tokarev                    2               10         
9637   Yang Zhang                            Cunxin Pu                        2               10         
9638   James Marsh                           Aidan Gillen                     2               10         
9639   Francesco Miccichè                    Cesare Bocci                     2               10         
9640   Ten Shimoyama                         Hirotarô Honda                   2               10         
9641   Tae-gyun Kim                          Young-hoo Lee                    2               10         
9642   Isaki Lacuesta                        Bruno Todeschini                 2               10         
9643   Kazim Öz                              Cezmi Baskin                     2               10         
9644   Chava Cartas                          Noé Hernández                    2               10         
9645   Tamae Garateguy                       Nicolás Goldschmidt              2               10         
9646   Benedek Fliegauf                      István Lénárt                    2               10         
9647   Bala                                  Vikram                           2               10         
9648   Adam Bhala Lough                      Mark Webber                      2               10         
9649   Mariano Cohn                          Dady Brieva                      2               10         
9650   Gastón Duprat                         Oscar Martínez                   2               10         
9651   Yibai Zhang                           Takashi Tsukamoto                2               10         
9652   N. Linguswamy                         Madhavan                         2               10         
9653   Mohammad Rasoulof                     Hassan Pourshirazi               2               10         
9654   Mark Meily                            Eric Quizon                      2               10         
9655   Volodymyr Tykhyy                      Dmitriy Tuboltsev                2               10         
9656   Imtiaz Ali                            Randeep Hooda                    2               10         
9657   Gerardo Olivares                      Jean Reno                        2               10         
9658   Leste Chen                            Duan Yihong                      2               10         
9659   Ato Bautista                          Carlo Aquino                     2               10         
9660   Qunshu Gao                            Da Ying                          2               10         
9661   Daihachi Yoshida                      Kazuki Kitamura                  2               10         
9662   Conor Allyn                           Lukman Sardi                     2               10         
9663   Sandra L. Martin                      Sean Wing                        2               10         
9664   Shôjirô Nakazawa                      Junya Ikeda                      2               10         
9665   Mahmoud Kamel                         Khaled El-Sawi                   2               10         
9666   Wilson Chin                           Jerry Lamb                       2               10         
9667   Sophia Cacciola                       Michael St. Michaels             2               10         
9668   Gene Kelly                            Walter Matthau                   2               10         
9669   Corbin Bernsen                        Nathan Gamble                    2               10         
9670   Alfred Braun                          Albert Florath                   2               10         
9671   Vincent Dieutre                       Hubert Geiger                    2               10         
9672   Dani Levy                             Sebastian Blomberg               2               10         
9673   Richard Lowry                         Blane Wheatley                   2               10         
9674   Fernando Merinero                     Ramón Merlo                      2               10         
9675   Carlos Orellana                       Luis Alcoriza                    2               10         
9676   Eric Schaeffer                        Donal Lardner Ward               2               10         
9677   Guto Parente                          Ricardo Pretti                   2               10         
9678   Charles Martin Smith                  Morgan Freeman                   2               9          
9679   Fisher Stevens                        Patrick Breen                    2               9          
9680   Carl Franklin                         Denzel Washington                2               9          
9681   Amy Heckerling                        John Travolta                    2               9          
9682   Ricardo Franco                        Ricardo Franco                   2               9          
9683   Kelley Cauthen                        Doug Jeffery                     2               9          
9684   Harmony Korine                        Werner Herzog                    2               9          
9685   Mary Lambert                          Julian Sands                     2               9          
9686   Mac Ahlberg                           Peter Bonke                      2               9          
9687   Vladimir Alenikov                     Armen Dzhigarkhanyan             2               9          
9688   Vicente Amorim                        Tsuyoshi Ihara                   2               9          
9689   Kjell-Åke Andersson                   Krister Henriksson               2               9          
9690   Mario Andreacchio                     Jamie Croft                      2               9          
9691   Govindan Aravindan                    Bharat Gopy                      2               9          
9692   Pavel Arsenov                         Armen Dzhigarkhanyan             2               9          
9693   Robert S. Baker                       Peter Arne                       2               9          
9694   Hall Bartlett                         Elroy 'Crazylegs' Hirsch         2               9          
9695   Yannick Bellon                        Robert Capia                     2               9          
9696   Khairy Beshara                        Ahmad Bedair                     2               9          
9697   Abner Biberman                        Russ Conway                      2               9          
9698   Paul Bogart                           Edward Asner                     2               9          
9699   Alberto Bojórquez                     Jorge Martínez de Hoyos          2               9          
9700   Kostadin Bonev                        Atanass Atanassov                2               9          
9701   Pascal Bonitzer                       Jean-Pierre Bacri                2               9          
9702   Hervé Bromberger                      Roger Dumas                      2               9          
9703   John Carl Buechler                    Stephen Wastell                  2               9          
9704   William Butler                        Michael Paré                     2               9          
9705   Jörg Buttgereit                       Michael Brynntrup                2               9          
9706   Marcel Camus                          Reinhard Kolldehoff              2               9          
9707   Cesare Canevari                       Sandro Pizzochero                2               9          
9708   Steve Carr                            Eddie Murphy                     2               9          
9709   Joan Carr-Wiggin                      Dean Armstrong                   2               9          
9710   Michael Carreras                      Richard Basehart                 2               9          
9711   Greg Carter                           Louis Gusemano                   2               9          
9712   Joe Castro                            Joe Haggerty                     2               9          
9713   Gurinder Chadha                       David Hayman                     2               9          
9714   Janet Chun                            Ronald Cheng                     2               9          
9715   Mehdi Charef                          Albert Delpy                     2               9          
9716   Eli Cohen                             Eli Cohen                        2               9          
9717   Alfonso Cuarón                        Daniel Giménez Cacho             2               9          
9718   Sean S. Cunningham                    Xavier Rodrigo                   2               9          
9719   Michael Dowse                         David Lawrence                   2               9          
9720   Gustav Ehmck                          Gert Fröbe                       2               9          
9721   Richard Eyre                          Hugh Bonneville                  2               9          
9722   Felice Farina                         Roberto Citran                   2               9          
9723   Leonardo Favio                        Martín Andrade                   2               9          
9724   Alessio Maria Federici                Enrico Brignano                  2               9          
9725   Ary Fernandes                         Xandó Batista                    2               9          
9726   Giuseppe Ferrara                      Accursio Di Leo                  2               9          
9727   Lírio Ferreira                        Matheus Nachtergaele             2               9          
9728   Larry Fessenden                       Michael Buscemi                  2               9          
9729   Fyodor Filippov                       Sergei Kalinin                   2               9          
9730   Thom Fitzgerald                       Shawn Ashmore                    2               9          
9731   Andrew Fleming                        Steve Coogan                     2               9          
9732   Peter Flinth                          Stellan Skarsgård                2               9          
9733   Alastair Fothergill                   Blair Underwood                  2               9          
9734   James Fotopoulos                      David Zellner                    2               9          
9735   Herb Freed                            Richard Balin                    2               9          
9736   Luís Galvão Teles                     Joaquim de Almeida               2               9          
9737   Nicole Garcia                         Jean-Pierre Bacri                2               9          
9738   Henrik Ruben Genz                     Anders W. Berthelsen             2               9          
9739   Bahman Ghobadi                        Allah Morad Rashtiani            2               9          
9740   Markus Goller                         Henning Peker                    2               9          
9741   Tata Esteban                          Michael De Mesa                  2               9          
9742   Karl Grune                            Nils Asther                      2               9          
9743   Sturla Gunnarsson                     Sturla Gunnarsson                2               9          
9744   John Lee Hancock                      Dennis Quaid                     2               9          
9745   Falk Harnack                          Wolfgang Preiss                  2               9          
9746   Curtis Harrington                     Dennis Hopper                    2               9          
9747   Harvey Hart                           James Blendick                   2               9          
9748   Veit Helmer                           Denis Lavant                     2               9          
9749   Paolo Heusch                          Piero Morgia                     2               9          
9750   Peter Hewitt                          Stephen Fry                      2               9          
9751   Oliver Hirschbiegel                   Ben Becker                       2               9          
9752   Mike Hodges                           Michael Caine                    2               9          
9753   Sherry Hormann                        Thomas Heinze                    2               9          
9754   Brian G. Hutton                       Clint Eastwood                   2               9          
9755   Klaus Härö                            Kristoffer Möller                2               9          
9756   Ike Jarlego Jr.                       Chinggoy Alonzo                  2               9          
9757   Vanessa Jopp                          Marek Harloff                    2               9          
9758   Mikhail Kalik                         Maksim Grekov                    2               9          
9759   Dorota Kedzierzawska                  Krzysztof Globisz                2               9          
9760   Beeban Kidron                         Jim Broadbent                    2               9          
9761   Nicole van Kilsdonk                   Dragan Bakema                    2               9          
9762   Alf Kjellin                           Gunnar Björnstrand               2               9          
9763   Elmar Klos                            Pavel Bartl                      2               9          
9764   Drahomíra Králová                     Pavel Nový                       2               9          
9765   Pieter Kuijpers                       Theu Boermans                    2               9          
9766   John D. Lamond                        Sam Bottoms                      2               9          
9767   Micheline Lanctôt                     Artur Gorishti                   2               9          
9768   Yorgos Lanthimos                      Willem Dafoe                     2               9          
9769   Serge Leroy                           Christian Bouillette             2               9          
9770   Peter Lilienthal                      Nikolaus Dutsch                  2               9          
9771   Philippe Lioret                       Philippe Beglia                  2               9          
9772   Stanley A. Long                       Ian Lavender                     2               9          
9773   Alexander Mackendrick                 Alec Guinness                    2               9          
9774   Leonid Makarychev                     Nikolay Boyarskiy                2               9          
9775   Frank Marshall                        Stuart Pankin                    2               9          
9776   Tonie Marshall                        François Cluzet                  2               9          
9777   Nikolay Mashchenko                    Konstantin Stepankov             2               9          
9778   Francis Megahy                        Pierce Brosnan                   2               9          
9779   Grigori Melik-Avakyan                 Khoren Abrahamyan                2               9          
