rank  director                      actor_director_h_index  total_films
541   Herschell Gordon Lewis        4                       34         
542   Richard Oswald                4                       34         
543   Georg Wilhelm Pabst           4                       34         
544   Luciano Salce                 4                       34         
545   Hisayasu Satô                 4                       34         
546   Sergio Véjar                  4                       34         
547   Anggy Umbara                  4                       34         
548   Gordon Chan                   4                       33         
549   Mika Kaurismäki               4                       33         
550   Gregory La Cava               4                       33         
551   Shôgorô Nishimura             4                       33         
552   Tony Y. Reyes                 4                       33         
553   Yücel Uçanoglu                4                       33         
554   Henri Verneuil                4                       33         
555   Spike Lee                     4                       32         
556   Carl Boese                    4                       32         
557   Ramón Fernández               4                       32         
558   Harry L. Fraser               4                       32         
559   Gerhard Lamprecht             4                       32         
560   Kazuo Mori                    4                       32         
561   Arturo Ripstein               4                       32         
562   Roberto Rodríguez             4                       32         
563   S. Sylvan Simon               4                       32         
564   Monty Tiwa                    4                       32         
565   Jared Cohn                    4                       32         
566   Abel Ferrara                  4                       31         
567   Philippe de Broca             4                       31         
568   Salah Abouseif                4                       31         
569   Joyce Bernal                  4                       31         
570   Siu-Hung Chung                4                       31         
571   José María Elorrieta          4                       31         
572   Richard Pottier               4                       31         
573   Chûsei Sone                   4                       31         
574   Giuliano Carnimeo             4                       30         
575   Marco Bellocchio              4                       30         
576   Enrique Cahen Salaberry       4                       30         
577   Semih Evin                    4                       30         
578   Veit Harlan                   4                       30         
579   Tatsumi Kumashiro             4                       30         
580   Tai Katô                      4                       30         
581   Masaru Konuma                 4                       30         
582   Kiyoshi Kurosawa              4                       30         
583   Fernando Méndez               4                       30         
584   Joselito Rodríguez            4                       30         
585   Paul Verhoeven                4                       30         
586   Todd Verow                    4                       30         
587   Kajirô Yamamoto               4                       30         
588   Satsuo Yamamoto               4                       30         
589   Rafael Villaseñor Kuri        4                       30         
590   Joven Tan                     4                       30         
591   Luis Buñuel                   4                       29         
592   Satyajit Ray                  4                       29         
593   Zeki Ökten                    4                       29         
594   Mario Amendola                4                       29         
595   Bapu                          4                       29         
596   Thomas Carr                   4                       29         
597   Lucas Demare                  4                       29         
598   Rolf Olsen                    4                       29         
599   Suresh Krishna                4                       29         
600   Patrice Leconte               4                       29         
601   Raffaello Matarazzo           4                       29         
602   Andrew V. McLaglen            4                       29         
603   Juan José Ortega              4                       29         
604   Rafael Portillo               4                       29         
605   Ville Salminen                4                       29         
606   Mario Soffici                 4                       29         
607   Leopoldo Torre Nilsson        4                       29         
608   K. Viswanath                  4                       29         
609   Andy Warhol                   4                       29         
610   Wenn V. Deramas               4                       29         
611   Robert Aldrich                4                       28         
612   Celso Ad. Castillo            4                       28         
613   Luis María Delgado            4                       28         
614   Heinosuke Gosho               4                       28         
615   Grigoris Grigoriou            4                       28         
616   James W. Horne                4                       28         
617   Rolf Husberg                  4                       28         
618   Corey Yuen                    4                       28         
619   Chun-Ku Lu                    4                       28         
620   David A. Prior                4                       28         
621   Bharathiraja                  4                       28         
622   Ákos Ráthonyi                 4                       28         
